url,label
http://webmail-check.org/confirm,1
https://github.com/services/services/services,0
http://bank-login.com/paypal,1
https://bbc.com/products/home/dashboard,0
http://verify-paypal.com/paypal/login,1
http://apple.com/home,0
http://signin-alert.co/verify/webmail,1
http://account-update.org/account/account/security,1
http://webmail-check.org/update/banking/banking,1
https://verify-paypal.com/update/verify,1
http://account-update.org/account/security,1
http://verify-login.bank.com,1
https://google.com/products/dashboard,0
http://malicious.website.com/login@user,1
https://accounts.google.com,0
http://login.security-check.com,1
https://dropbox.com/products,0
https://apple.com/dashboard,0
http://linkedin.com/services,0
https://access-now.net/verify,1
https://my.safe-site.org,0
http://webmail-check.org/confirm/security/banking,1
http://paypal-user.net/banking,1
https://bbc.com/services/about,0
http://verify-paypal.com/confirm,1
http://192.168.0.1/login,1
http://bbc.com/products/dashboard/about,0
http://bank-login.com/account/paypal/update,1
https://access-now.net/confirm,1
https://tinyurl.com/phish123,1
http://bank-login.com/banking/paypal/webmail,1
http://signin-alert.co/paypal/confirm/login,1
http://amazon.com/dashboard,0
https://secure.paypal.com,0
http://signin-alert.co/update,1
http://bit.ly/2xyzAB,1
https://amazon.com/products/about,0
http://amazon.com/about/dashboard,0
https://verify-paypal.com/paypal/banking/account,1
http://linkedin.com/about/about/products,0
https://account-update.org/update/update,1
http://signin-alert.co/paypal,1
http://account-update.org/update/security/verify,1
https://dropbox.com/products,0
http://paypal-user.net/verify/update,1
https://facebook.com/login,0
https://github.com/products/dashboard,0
https://paypal-user.net/paypal/account,1
https://access-now.net/webmail/account/paypal,1
http://stackoverflow.com/products/dashboard,0
